ï»¿state,rep_district,senate_district,party,prefix,first_name,last_name,suffix,address1,address2,city,address_state,zip,title,leader_title,gender,photo_url,,https://www.senate.gov/general/contact_information/senators_cfm.xml
,,,D,Mr.,Joe,Biden,,1600 Pennsylvania Ave NW,,Washington,DC,20500,,President of the United States,M,https://www.whitehouse.gov/wp-content/uploads/2021/01/joe_hero.jpg,,
,,,D,Ms.,Kamala,Harris,,Einsenhower Executive Office Building,1650 Pennsylvania Ave NW,Washington,DC,20502,,Vice President of the United States,F,https://www.whitehouse.gov/wp-content/uploads/2021/01/kamala_hero.jpg,,
,,,R,Mr.,Donald J.,Trump,,c/o Mar-a-Lago Club,1100 S. Ocean Blvd.,Palm Beach,FL,33480,,Unite States President Elect,,"https://www.whitehouse.gov/wp-content/uploads/2021/01/45_donald_trump.jpg?resize=1200,1200",,
AK,,S,R,,Lisa,Murkowski,,United States Senate,522 Hart Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/M/M001153.jpg,,
AK,,S,R,,Dan,Sullivan,,United States Senate,302 Hart Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/S/S001198.jpg,,
AL,,S,R,,Katie Boyd,Britt,,United States Senate,502 Hart Senate Office Building,Washington,DC,20510,Senator,,,https://www.senate.gov/states/graphics/118/britt.png,,
AL,,S,R,,Tommy,Tuberville,,United States Senate,455 Russell Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/T/T000278.jpg,,
AR,,S,R,,John,Boozman,,United States Senate,555 Dirksen Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/B/B001236.jpg,,
AR,,S,R,,Tom,Cotton,,United States Senate,326 Russell Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/C/C001095.jpg,,
AZ,,S,D,,Ruben,Gallego,,United States Senate,188 Russell Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/G/G000574.jpg,,
AZ,,S,D,,Mark,Kelly,,United States Senate,516 Hart Senate Office Building,Washington,DC,20510,Senator,,,https://www.senate.gov/states/graphics/117/KellyMark.png,,
CA,,S,D,,Alex,Padilla,,United States Senate,331 Hart Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/P/P000145.jpg,,
CA,,S,D,,Adam B.,Schiff,,United States Senate,B40B Dirksen Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/S/S001150.jpg,,
CO,,S,D,,Michael F.,Bennet,,United States Senate,261 Russell Senate Office Building,Washington,DC,20510,Senator,,,https://bioguide.congress.gov/bioguide/photo/B/B001267.jpg,,
